iter	RMSE
213	1.831577086
214	1.831273015
215	1.83106365
216	1.830623826
217	1.830236536
218	1.829940367
219	1.829500022
220	1.829089681
221	1.828865166
222	1.828566394
223	1.828428931
224	1.828023642
225	1.827755714
226	1.8274929
227	1.827194549
228	1.826771022
229	1.826181036
230	1.825759785
231	1.825471481
232	1.825064715
233	1.824469639
234	1.824303804
235	1.823841429
236	1.823533573
237	1.823232704
238	1.822911552
239	1.822739879
240	1.822414276
241	1.822138707
242	1.8217684
243	1.821466153
244	1.821097824
245	1.820672923
246	1.820394563
247	1.820092305
248	1.819803798
249	1.819619644
250	1.819225573
251	1.819003643
252	1.818760535
253	1.818393324
254	1.81807236
255	1.817847688
256	1.81762955
257	1.817338307
258	1.817067258
259	1.81671545
260	1.816424194
261	1.816151989
262	1.815862016
263	1.815644148
264	1.81554502
265	1.815437286
266	1.815129651
267	1.814966068
268	1.814598452
269	1.814192943
270	1.813891349
271	1.813530467
272	1.813333871
273	1.813262503
274	1.812919695
275	1.812575226
276	1.812367276
277	1.812164522
278	1.811836583
279	1.811617713
280	1.811346442
281	1.8111387
282	1.81076893
283	1.810577655
284	1.810360154
285	1.810094658
286	1.809929329
287	1.809687689
288	1.809306931
289	1.80907113
290	1.808613192
291	1.808563246
292	1.808020311
293	1.807758187
294	1.807498519
295	1.80731474
296	1.807049604
297	1.806696596
298	1.806403313
299	1.806167447
300	1.805903757
301	1.805638994
302	1.805584994
303	1.80535442
304	1.804950092
305	1.804600743
306	1.804397944
307	1.804075149
308	1.803790955
309	1.803589388
310	1.80347025
311	1.803229143
312	1.802923593
313	1.802478255
314	1.802288614
315	1.802064777
316	1.801802364
317	1.801593272
318	1.801264498
319	1.800970665
320	1.80071008
321	1.800628857
322	1.80041038
323	1.800192149
324	1.800057209
325	1.799868517
326	1.799724453
327	1.799465646
328	1.799198376
329	1.798891865
330	1.798712306
331	1.798469527
332	1.798017221
333	1.797831756
334	1.797414905
335	1.797237506
336	1.797024381
337	1.796762987
338	1.796383406
339	1.795947882
340	1.795741213
341	1.795438584
342	1.795170848
343	1.794927106
344	1.794866664
345	1.794586935
346	1.794292066
347	1.794188695
348	1.793944247
349	1.793569541
350	1.793342394
351	1.793104114
352	1.792724283
353	1.792458618
354	1.792215132
355	1.791999578
356	1.791837434
357	1.791643178
358	1.791342092
359	1.791251403
360	1.79105979
361	1.790802472
362	1.790518314
363	1.790474264
364	1.790232789
365	1.790155144
366	1.789657331
367	1.789605835
368	1.7894244
369	1.789260908
370	1.788937969
371	1.788760975
372	1.788566707
373	1.788336766
374	1.788276402
375	1.788073082
376	1.787759396
377	1.787471763
378	1.787242294
379	1.786890691
380	1.786678567
381	1.786401534
382	1.786243361
383	1.785937681
384	1.785768764
385	1.785557867
386	1.785243455
387	1.784964908
388	1.784657549
389	1.784404709
390	1.784050703
391	1.783705728
392	1.78352542
393	1.783416608
394	1.783312518
395	1.78312917
396	1.78307874
397	1.782848919
398	1.782718837
399	1.782550158
400	1.782346444
401	1.782192563
402	1.781996982
403	1.781917491
404	1.781661709
405	1.781497108
406	1.781192064
407	1.78112757
408	1.78091568
409	1.7807524
410	1.780634245
411	1.780311335
412	1.780096825
413	1.779839443
414	1.779628622
415	1.779247033
416	1.778974289
417	1.778767236
418	1.778454474
419	1.778208762
420	1.778020439
421	1.777786466
422	1.777563865
423	1.777404751
424	1.777110109
425	1.776878358
426	1.776698863
427	1.776548982
428	1.776216696
429	1.775945313
430	1.775724628
431	1.77550991
432	1.775353346
433	1.775137033
434	1.774875109
435	1.774596593
436	1.774434802
437	1.774097354
438	1.773860892
439	1.773622371
440	1.773425445
441	1.773253023
442	1.773032172
443	1.77292457
444	1.772812052
445	1.772608195
446	1.772449302
447	1.772199413
448	1.771993316
449	1.771868506
450	1.771565751
451	1.771486547
452	1.771379318
453	1.77117508
454	1.770963604
455	1.770665348
456	1.770439518
457	1.770180202
458	1.769833768
459	1.769633299
460	1.769365495
461	1.769290013
462	1.769199757
463	1.769013779
464	1.76887501
465	1.76881029
466	1.768651828
467	1.768284565
468	1.768065115
469	1.767811977
470	1.767555954
471	1.767348732
472	1.767018343
473	1.766969694
474	1.766817195
475	1.766644989
476	1.766373853
477	1.766199966
478	1.766052639
479	1.765710778
480	1.7653939
481	1.76522089
482	1.765018567
483	1.764807734
484	1.764554291
485	1.76425477
486	1.763950903
487	1.763628484
488	1.763371432
489	1.763252731
490	1.762974203
491	1.762834035
492	1.762695169
493	1.762412371
494	1.762269637
495	1.762134172
496	1.761953462
497	1.761827824
498	1.76145924
499	1.761298899
500	1.761103898
501	1.760847181
502	1.760635932
503	1.760374295
504	1.760341148
505	1.760179078
506	1.76001267
507	1.759785074
508	1.759558172
509	1.759265032
510	1.759055524
511	1.758777411
512	1.758570252
513	1.758322555
514	1.758159767
515	1.757989316
516	1.75780548
517	1.757675615
518	1.757368586
519	1.757202124
520	1.757005694
521	1.756804205
522	1.756631784
523	1.75652788
524	1.756379491
525	1.756207324
526	1.756063307
527	1.75595737
528	1.75578012
529	1.755521619
530	1.755480665
531	1.755141507
532	1.754973139
533	1.754900384
534	1.754680211
535	1.754411928
536	1.754282507
537	1.754197851
538	1.75401755
539	1.75396416
540	1.753772351
541	1.7537404
542	1.753587609
543	1.753455454
544	1.753200441
545	1.752951227
546	1.752775154
547	1.752690673
548	1.752570393
549	1.752441516
550	1.752317153
551	1.75220856
552	1.751977069
553	1.751851817
554	1.751667752
555	1.751402962
556	1.751227895
557	1.751095044
558	1.750810148
559	1.750685796
560	1.750621253
561	1.750341328
562	1.750255774
563	1.750032397
564	1.749907509
565	1.749776134
566	1.749661799
567	1.749503538
568	1.74938483
569	1.749116654
570	1.749030784
571	1.748982126
572	1.748892049
573	1.748720751
574	1.748540092
575	1.748266172
576	1.748123361
577	1.748083823
578	1.74785476
579	1.747781097
580	1.747667624
581	1.747564455
582	1.7474085
583	1.747231041
584	1.74705751
585	1.746789819
586	1.746612528
587	1.746551965
588	1.746316087
589	1.746139055
590	1.746076659
591	1.745893584
592	1.745713587
593	1.745570634
594	1.745335654
595	1.745267691
596	1.745050651
597	1.744853559
598	1.744646603
599	1.7443918
600	1.744238772
601	1.743983902
602	1.743768192
603	1.743658772
604	1.74361087
605	1.743491598
606	1.743335132
607	1.743077187
608	1.74278731
609	1.742696871
610	1.742530945
611	1.742307219
612	1.742098161
613	1.741826075
614	1.741582693
615	1.741441048
616	1.741227251
617	1.741100932
618	1.74092602
619	1.740777535
620	1.740626926
621	1.740481619
622	1.74029584
623	1.740064489
624	1.739852946
625	1.739680869
626	1.73944977
627	1.739282205
628	1.739100172
629	1.738943456
630	1.738814326
631	1.738711102
632	1.738530957
633	1.738391887
634	1.738245369
635	1.737975204
636	1.737752869
637	1.737569991
638	1.73743814
639	1.737363391
640	1.737200147
641	1.73696382
642	1.736890458
643	1.736610473
644	1.736470545
645	1.736297496
646	1.73614055
647	1.73601643
648	1.735917034
649	1.735758726
650	1.73555815
651	1.735322347
652	1.735132546
653	1.734931778
654	1.734834812
655	1.734664628
656	1.734533405
657	1.734361852
658	1.734282582
659	1.734050039
660	1.733868679
661	1.733841406
662	1.733720023
663	1.733456421
664	1.733416819
665	1.733163484
666	1.732930948
667	1.732759716
668	1.732474511
669	1.73232593
670	1.732200378
671	1.731956855
672	1.731739553
673	1.731574803
674	1.731352925
675	1.73127384
676	1.731160354
677	1.730964361
678	1.730900778
679	1.730831956
680	1.730662981
681	1.730539674
682	1.730485657
683	1.730310503
684	1.730139291
685	1.72998618
686	1.7298555
687	1.729720645
688	1.729549516
689	1.729377761
690	1.72919066
691	1.729022017
692	1.728851612
693	1.72867828
694	1.728420776
695	1.728209367
696	1.728046902
697	1.727849904
698	1.727554991
699	1.727359551
700	1.727205987
701	1.727078047
702	1.726928091
703	1.726624951
704	1.726408226
705	1.726291581
706	1.72609681
707	1.726068791
708	1.725920331
709	1.725797236
710	1.725583725
711	1.725532193
712	1.725473525
713	1.725422434
714	1.725239684
715	1.725117907
716	1.724943046
717	1.724816938
718	1.724604707
719	1.724380985
720	1.724246778
721	1.72415592
722	1.724007952
723	1.723865172
724	1.723745749
725	1.723536878
726	1.72349197
727	1.723375628
728	1.723202027
729	1.722978445
730	1.722872676
731	1.722815578
732	1.722726026
733	1.722553088
734	1.722232708
735	1.722085115
736	1.721938706
737	1.721748365
738	1.721626595
739	1.721481623
740	1.7212104
741	1.721090039
742	1.72095597
743	1.72085666
744	1.720691282
745	1.720597667
746	1.720454099
747	1.720413155
748	1.720178509
749	1.720054174
750	1.719899436
751	1.719766245
752	1.71966446
753	1.719483442
754	1.719338354
755	1.71913059
756	1.718990631
757	1.718929806
758	1.718822583
759	1.718660511
760	1.71856644
761	1.718391744
762	1.718208081
763	1.718052871
764	1.717879016
765	1.717757424
766	1.717657689
767	1.717539086
768	1.717330008
769	1.717180261
770	1.717001278
771	1.716840223
772	1.716662152
773	1.716470303
774	1.716201388
775	1.716053949
776	1.715878384
777	1.715690571
778	1.71556373
779	1.715464656
780	1.715301793
781	1.715197036
782	1.715156537
783	1.714913345
784	1.71464445
785	1.71448407
786	1.714366426
787	1.714231237
788	1.714062462
789	1.713987469
790	1.71393378
791	1.713770582
792	1.713611002
793	1.713482341
794	1.713282652
795	1.713189641
796	1.71303919
797	1.712827283
798	1.712716239
799	1.712570384
800	1.7124572
801	1.712292321
802	1.712153596
803	1.711986367
804	1.711750995
805	1.71158855
806	1.711443317
807	1.711176189
808	1.710996143
809	1.710734054
810	1.710578303
811	1.710539362
812	1.710437029
813	1.710306446
814	1.710145772
815	1.70997661
816	1.709838856
817	1.709739088
818	1.70950523
819	1.709393349
820	1.709248712
821	1.709074643
822	1.708907664
823	1.708804919
824	1.708701422
825	1.708655309
826	1.708426941
827	1.708262101
828	1.70808349
829	1.707940844
830	1.707823033
831	1.707697068
832	1.707484134
833	1.707299241
834	1.707256242
835	1.707149352
836	1.706998921
837	1.706921066
838	1.706854527
839	1.70673551
840	1.70657401
841	1.706464872
842	1.70636764
843	1.706264058
844	1.705993284
845	1.705831069
846	1.705738824
847	1.705491123
848	1.705408357
849	1.705357775
850	1.705217678
851	1.70503772
852	1.704985252
853	1.704851852
854	1.704711093
855	1.70462673
856	1.704541
857	1.704411677
858	1.704304144
859	1.704165675
860	1.703958193
861	1.703920989
862	1.703864839
863	1.703756844
864	1.70364465
865	1.703590264
866	1.703451953
867	1.703327967
868	1.703244422
869	1.703076898
870	1.702932243
871	1.702843127
872	1.702796339
873	1.702763942
874	1.702559463
875	1.702432787
876	1.702268607
877	1.702071406
878	1.701903258
879	1.701727571
880	1.701677803
881	1.701579418
882	1.701444819
883	1.70122734
884	1.701035668
885	1.700913249
886	1.700733139
887	1.700556361
888	1.700525822
889	1.7004323
890	1.700218098
891	1.700028235
892	1.699921246
893	1.699810847
894	1.699656608
895	1.699450036
896	1.699292435
897	1.699179825
898	1.699142798
899	1.69903298
900	1.698814641
901	1.698753116
902	1.698580996
903	1.698454536
904	1.698246459
905	1.698050978
906	1.697848691
907	1.697724111
908	1.697551099
909	1.697424368
910	1.697117038
911	1.696975305
912	1.696797517
913	1.696701744
914	1.696509467
915	1.696376694
916	1.696207544
917	1.696123961
918	1.696017671
919	1.695808207
920	1.695756449
921	1.695415974
922	1.69530622
923	1.695101407
924	1.69495842
925	1.694828704
926	1.694695086
927	1.694553596
928	1.69442153
929	1.694285992
930	1.694144855
931	1.694080763
932	1.694031527
933	1.693900599
934	1.693795028
935	1.693572126
936	1.693432248
937	1.693387617
938	1.693283364
939	1.693167619
940	1.692999949
941	1.692844945
942	1.692623449
943	1.692557416
944	1.69243619
945	1.692255477
946	1.692090769
947	1.691970197
948	1.691814357
949	1.691664133
950	1.691488362
951	1.691354607
952	1.69120839
953	1.691108727
954	1.690987974
955	1.690905018
956	1.69068934
957	1.690571472
958	1.690505554
959	1.690318202
960	1.690203066
961	1.69015682
962	1.690031097
963	1.689878074
964	1.689776366
965	1.689591082
966	1.689444367
967	1.68932818
968	1.689199711
969	1.689164665
970	1.688989347
971	1.688814026
972	1.688679287
973	1.688481693
974	1.688341246
975	1.68815534
976	1.68801185
977	1.687901305
978	1.687815721
979	1.687706995
980	1.687588987
981	1.687503136
982	1.687386411
983	1.687271339
984	1.687019588
985	1.686911786
986	1.686784574
987	1.68662557
988	1.686505766
989	1.686421199
990	1.686379806
991	1.686218653
992	1.686070542
993	1.685976495
994	1.685674947
995	1.685509035
996	1.685458978
997	1.685357384
998	1.685342736
999	1.685265781
